
           STOCK REFILL REPORT

Transaction Date From: 16/04/2022 
________________________________________________________
Product    Colour     Name             Size    Sold  SOH
114934     Black      Felicity Velvet  16         1    0
114934     Navy       Felicity Velvet  6          2    0
114934     Navy       Felicity Velvet  8          2    0
114934     Navy       Felicity Velvet  10         2    0
114934     Navy       Felicity Velvet  12         7    0
114934     Navy       Felicity Velvet  14         4    0
114934     Navy       Felicity Velvet  16         1    0
114934     Navy       Felicity Velvet  18         1    0
114934G1   Black      Felicity Velvet  6          1    0
114934G1   Black      Felicity Velvet  8          1    0
114934G1   Black      Felicity Velvet  10         1    0
114934G1   Black      Felicity Velvet  12         1    0
114934G1   Black      Felicity Velvet  14         1    0
114934G1   Black      Felicity Velvet  16         2    0
114934G1   Black      Felicity Velvet  18         1    0
114934G1   Navy       Felicity Velvet  6          1    0
114934G1   Navy       Felicity Velvet  8          1    0
114934G1   Navy       Felicity Velvet  10         1    0
114934G1   Navy       Felicity Velvet  12         1    0
114934G1   Navy       Felicity Velvet  14         5    0
114934G1   Navy       Felicity Velvet  16         1    0
114934G1   Navy       Felicity Velvet  18         1    0
114941     Navy       Vera Quilted Ja  8          1    0
114941     Navy       Vera Quilted Ja  10         3    0
114941     Navy       Vera Quilted Ja  12         2    0
114941     Navy       Vera Quilted Ja  14         3    0
114941     Navy       Vera Quilted Ja  16         2    0
114941     Navy       Vera Quilted Ja  18         1    0
114948     Indigo     Simone Straight  6          4    1
114948     Indigo     Simone Straight  8          5    1
114948     Indigo     Simone Straight  9          6    2
114948     Indigo     Simone Straight  10        13    1
114948     Indigo     Simone Straight  11        16    1
114948     Indigo     Simone Straight  12        15    0
114948     Indigo     Simone Straight  13        11    2
114948     Indigo     Simone Straight  14         8    2
114948     Indigo     Simone Straight  15         2    0
114948     Indigo     Simone Straight  16        11    0
114948     Indigo     Simone Straight  18         3    2
114950     Black      Eva Capri        11         2    0
114951     Black      Yvonne Pant      6          2    0
114951     Black      Yvonne Pant      8          6    0
114951     Black      Yvonne Pant      9          3    0
114951     Black      Yvonne Pant      10        11    0
114951     Black      Yvonne Pant      11         6    0
114951     Black      Yvonne Pant      12         8    0
114951     Black      Yvonne Pant      13         5    0
114951     Black      Yvonne Pant      14        16    0
114951     Black      Yvonne Pant      15         1    0
114951     Black      Yvonne Pant      16        16    0
114951     Black      Yvonne Pant      18         3    0
114951     Navy       Yvonne Pant      6          3    0
114951     Navy       Yvonne Pant      8          8    0
114951     Navy       Yvonne Pant      9          2    0
114951     Navy       Yvonne Pant      10        11    0
114951     Navy       Yvonne Pant      11         7    0
114951     Navy       Yvonne Pant      12        11    0
114951     Navy       Yvonne Pant      13         3    0
114951     Navy       Yvonne Pant      14        10    0
114951     Navy       Yvonne Pant      15         2    0
114951     Navy       Yvonne Pant      16         4    0
114951     Navy       Yvonne Pant      18         1    0
114952     Black      Felicity Pull O  6          1    2
114952     Black      Felicity Pull O  8          5    3
114952     Black      Felicity Pull O  10        10    2
114952     Black      Felicity Pull O  12         8    0
114952     Black      Felicity Pull O  14         4    3
114952     Black      Felicity Pull O  16         5    3
114952     Black      Felicity Pull O  18         5    0
114952     Khaki      Felicity Pull O  14         1    0
114952     Navy       Felicity Pull O  6          2    3
114952     Navy       Felicity Pull O  8          3    4
114952     Navy       Felicity Pull O  10         5    3
114952     Navy       Felicity Pull O  12         9    0
114952     Navy       Felicity Pull O  14         3    6
114952     Navy       Felicity Pull O  16         4    4
114952     Navy       Felicity Pull O  18         2    1
114952     Stone      Felicity Pull O  10         2    0
114952     Stone      Felicity Pull O  12         3    0
114952     Stone      Felicity Pull O  14         1    0
114952E    Black      Felicity Pull O  20         2    0
114953     Black      Esme Ponte Pant  8          4    1
114953     Black      Esme Ponte Pant  10        10    1
114953     Black      Esme Ponte Pant  12        18    1
114953     Black      Esme Ponte Pant  14         8    1
114953     Black      Esme Ponte Pant  16        11    1
114953     Black      Esme Ponte Pant  18         4    3
114953     Navy       Esme Ponte Pant  6          2    0
114953     Navy       Esme Ponte Pant  8          9    1
114953     Navy       Esme Ponte Pant  10        12    1
114953     Navy       Esme Ponte Pant  12        14    1
114953     Navy       Esme Ponte Pant  14         3    0
114953     Navy       Esme Ponte Pant  16         4    1
114953     Navy       Esme Ponte Pant  18         1    1
114954     Dk Wash    Jackie H/W Skin  10         3    0
114954     Dk Wash    Jackie H/W Skin  16         1    0
115011     Fuschia    Alexa Lace Tee   S          1    0
115011     Fuschia    Alexa Lace Tee   M          2    0
115011     Fuschia    Alexa Lace Tee   XL         1    0
115011     Fuschia    Alexa Lace Tee   XXL        1    0
115011     Navy       Alexa Lace Tee   XS         1    0
115011     Navy       Alexa Lace Tee   S          1    0
115011     Navy       Alexa Lace Tee   M          3    0
115011     Navy       Alexa Lace Tee   L          1    0
115011     White      Alexa Lace Tee   XXS        1    0
115011     White      Alexa Lace Tee   S          2    0
115011     White      Alexa Lace Tee   M          1    0
115011     White      Alexa Lace Tee   XXL        1    0
115126     Chocolate  Evie Capri       6          1    0
115126     Chocolate  Evie Capri       8          2    0
115126     Chocolate  Evie Capri       10         3    0
115126     Chocolate  Evie Capri       12         2    0
115126     Chocolate  Evie Capri       14         2    0
115126     Chocolate  Evie Capri       16         2    0
115179     Black      Rosa Linen Pant  6          8    0
115179     Black      Rosa Linen Pant  8         23    0
115179     Black      Rosa Linen Pant  10        25    0
115179     Black      Rosa Linen Pant  12        20    0
115179     Black      Rosa Linen Pant  14        18    0
115179     Black      Rosa Linen Pant  16        10    0
115179     Black      Rosa Linen Pant  18         6    0
115179     Bnt Orange Rosa Linen Pant  10         1    0
115179     Bnt Orange Rosa Linen Pant  12         2    0
115179     Bnt Orange Rosa Linen Pant  14         1    0
115179     Brt Pink   Rosa Linen Pant  6          1    0
115179     Brt Pink   Rosa Linen Pant  8          3    0
115179     Brt Pink   Rosa Linen Pant  10         2    0
115179     Brt Pink   Rosa Linen Pant  12         2    0
115179     Brt Pink   Rosa Linen Pant  16         1    0
115179     Cerulean   Rosa Linen Pant  8          2    0
115179     Cerulean   Rosa Linen Pant  10         3    0
115179     Cerulean   Rosa Linen Pant  12         2    0
115179     Cerulean   Rosa Linen Pant  14         3    0
115179     ClassicNav Rosa Linen Pant  6         10    0
115179     ClassicNav Rosa Linen Pant  8         19    0
115179     ClassicNav Rosa Linen Pant  10        30    1
115179     ClassicNav Rosa Linen Pant  12        20    2
115179     ClassicNav Rosa Linen Pant  14        28    0
115179     ClassicNav Rosa Linen Pant  16         5    0
115179     ClassicNav Rosa Linen Pant  18         1    0
115179     Cobalt     Rosa Linen Pant  6          1    0
115179     Cobalt     Rosa Linen Pant  8          1    0
115179     Emerald    Rosa Linen Pant  8          1    0
115179     Emerald    Rosa Linen Pant  10         2    0
115179     Emerald    Rosa Linen Pant  12         2    0
115179     Emerald    Rosa Linen Pant  14         2    0
115179     Emerald    Rosa Linen Pant  16         1    0
115179     Fern       Rosa Linen Pant  6          1    0
115179     Fern       Rosa Linen Pant  8          3    0
115179     Fern       Rosa Linen Pant  10         2    0
115179     Fern       Rosa Linen Pant  12         4    0
115179     Fern       Rosa Linen Pant  14         1    0
115179     Fern       Rosa Linen Pant  16         1    0
115179     Hydrangea  Rosa Linen Pant  8          1    0
115179     Hydrangea  Rosa Linen Pant  10         1    0
115179     Hydrangea  Rosa Linen Pant  12         1    0
115179     Hydrangea  Rosa Linen Pant  14         1    0
115179     Hydrangea  Rosa Linen Pant  18         1    0
115179     Indigo     Rosa Linen Pant  6          3    0
115179     Indigo     Rosa Linen Pant  8         12    0
115179     Indigo     Rosa Linen Pant  10        13    0
115179     Indigo     Rosa Linen Pant  12        13    0
115179     Indigo     Rosa Linen Pant  14        10    0
115179     Indigo     Rosa Linen Pant  16         6    0
115179     Indigo     Rosa Linen Pant  18         1    0
115179     Khaki      Rosa Linen Pant  6         11    0
115179     Khaki      Rosa Linen Pant  8         16    0
115179     Khaki      Rosa Linen Pant  10        21    0
115179     Khaki      Rosa Linen Pant  12        18    0
115179     Khaki      Rosa Linen Pant  14        15    0
115179     Khaki      Rosa Linen Pant  16         6    0
115179     Lilac      Rosa Linen Pant  10         2    0
115179     Lilac      Rosa Linen Pant  14         1    0
115179     Lt Olive   Rosa Linen Pant  6          1    0
115179     Lt Olive   Rosa Linen Pant  14         1    0
115179     Lt Olive   Rosa Linen Pant  18         1    0
115179     Melon      Rosa Linen Pant  8          1    0
115179     Melon      Rosa Linen Pant  14         1    0
115179     Melon      Rosa Linen Pant  18         1    0
115179     Morc Blue  Rosa Linen Pant  6          5    0
115179     Morc Blue  Rosa Linen Pant  8          1    0
115179     Morc Blue  Rosa Linen Pant  10         7    0
115179     Morc Blue  Rosa Linen Pant  12         3    0
115179     Morc Blue  Rosa Linen Pant  14         2    0
115179     Morc Blue  Rosa Linen Pant  16         3    0
115179     Morc Blue  Rosa Linen Pant  18         1    0
115179     Natural    Rosa Linen Pant  6         14    0
115179     Natural    Rosa Linen Pant  8         26    0
115179     Natural    Rosa Linen Pant  10        22    0
115179     Natural    Rosa Linen Pant  12        37    0
115179     Natural    Rosa Linen Pant  14        18    0
115179     Natural    Rosa Linen Pant  16        11    0
115179     Natural    Rosa Linen Pant  18         2    0
115179     Orchid     Rosa Linen Pant  6          1    0
115179     Orchid     Rosa Linen Pant  18         2    0
115179     White      Rosa Linen Pant  6         11    0
115179     White      Rosa Linen Pant  8         31    0
115179     White      Rosa Linen Pant  10        32    0
115179     White      Rosa Linen Pant  12        31    0
115179     White      Rosa Linen Pant  14        15    0
115179     White      Rosa Linen Pant  16         7    0
115179     White      Rosa Linen Pant  18         1    0
115179E    ClassicNav Rosa Linen Pant  20         1    0
115240     White      Georgina Relaxe  6          8    0
115240     White      Georgina Relaxe  8          4    0
115240     White      Georgina Relaxe  10         5    0
115240     White      Georgina Relaxe  12         7    0
115240     White      Georgina Relaxe  14         6    0
115240     White      Georgina Relaxe  16         1    0
115240     White      Georgina Relaxe  18         2    0
115356     Black      Eva Full Length  6          1    2
115356     Black      Eva Full Length  8          4    0
115356     Black      Eva Full Length  10         9    0
115356     Black      Eva Full Length  12         4    0
115356     Black      Eva Full Length  14         1    0
115356     Black      Eva Full Length  18         2    0
115356     Cappuccino Eva Full Length  10         1    0
115356     Cappuccino Eva Full Length  14         1    0
115356     Cappuccino Eva Full Length  18         1    0
115356     ClassicNav Eva Full Length  6          2    1
115356     ClassicNav Eva Full Length  8          4    0
115356     ClassicNav Eva Full Length  10        10    0
115356     ClassicNav Eva Full Length  12        14    2
115356     ClassicNav Eva Full Length  14         6    1
115356     ClassicNav Eva Full Length  16         1    1
115356     ClassicNav Eva Full Length  18         1    0
115357     Black      Eva Capri        6          2    0
115357     Black      Eva Capri        8          4    0
115357     Black      Eva Capri        9          2    0
115357     Black      Eva Capri        10         4    0
115357     Black      Eva Capri        11         1    0
115357     Black      Eva Capri        12         7    0
115357     Black      Eva Capri        13         3    0
