day,date,tender,value
Friday,2022-07-29,Account,130.0
Friday,2022-07-29,Gift Voucher,50.0
Friday,2022-07-29,Integrated EFTPOS,3657.61
Saturday,2022-07-30,Gift Voucher,50.0
Saturday,2022-07-30,Integrated EFTPOS,2553.9
Sunday,2022-07-31,Integrated EFTPOS,4455.89
Monday,2022-08-01,Integrated EFTPOS,1208.91
Tuesday,2022-08-02,Integrated EFTPOS,2374.91
Wednesday,2022-08-03,Gift Voucher,20.0
Wednesday,2022-08-03,Integrated EFTPOS,3256.9
Thursday,2022-08-04,Integrated EFTPOS,2212.9
Friday,2022-08-05,Integrated EFTPOS,2125.9
Saturday,2022-08-06,Account,128.99
Saturday,2022-08-06,CASH,81.0
Saturday,2022-08-06,Gift Voucher,60.0
Saturday,2022-08-06,Integrated EFTPOS,3012.83
Sunday,2022-08-07,Integrated EFTPOS,2252.86
Monday,2022-08-08,Gift Voucher,20.0
Monday,2022-08-08,Integrated EFTPOS,3637.87
Tuesday,2022-08-09,Account,-159.99
Tuesday,2022-08-09,Integrated EFTPOS,1184.94
Tuesday,2022-08-09,PayPal,-99.0
Wednesday,2022-08-10,Gift Voucher,20.0
Wednesday,2022-08-10,Integrated EFTPOS,1583.92
Thursday,2022-08-11,Gift Voucher,20.0
Thursday,2022-08-11,Integrated EFTPOS,2093.85
Friday,2022-08-12,Account,584.94
Friday,2022-08-12,CASH,0.0
Friday,2022-08-12,Integrated EFTPOS,4610.56
Friday,2022-08-12,PayPal,-118.0
Saturday,2022-08-13,Integrated EFTPOS,3272.38
Sunday,2022-08-14,Gift Voucher,20.0
Sunday,2022-08-14,Integrated EFTPOS,3213.78
Monday,2022-08-15,Integrated EFTPOS,2366.87
Tuesday,2022-08-16,Account,1029.95
Tuesday,2022-08-16,Integrated EFTPOS,1251.92
Wednesday,2022-08-17,Gift Voucher,20.0
Wednesday,2022-08-17,Integrated EFTPOS,1032.94
Thursday,2022-08-18,Integrated EFTPOS,3011.73
Friday,2022-08-19,CASH,223.0
Friday,2022-08-19,Gift Voucher,60.0
Friday,2022-08-19,Integrated EFTPOS,2182.31
Friday,2022-08-19,PayPal,-47.99
Saturday,2022-08-20,CASH,408.0
Saturday,2022-08-20,Integrated EFTPOS,2776.83
Saturday,2022-08-20,PayPal,-198.0
Sunday,2022-08-21,Integrated EFTPOS,2933.83
Monday,2022-08-22,Account,259.98
Monday,2022-08-22,Integrated EFTPOS,2023.83
Monday,2022-08-22,Mail Order Pickup,567.97
Tuesday,2022-08-23,Gift Voucher,20.0
Tuesday,2022-08-23,Integrated EFTPOS,2668.8
Wednesday,2022-08-24,Account,49.0
Wednesday,2022-08-24,Integrated EFTPOS,2702.8
Wednesday,2022-08-24,Mail Order Pickup,164.98
Thursday,2022-08-25,Gift Voucher,59.8
Thursday,2022-08-25,Integrated EFTPOS,1425.9
Friday,2022-08-26,CASH,135.0
Friday,2022-08-26,Integrated EFTPOS,2265.82
Saturday,2022-08-27,Gift Voucher,20.0
Saturday,2022-08-27,Integrated EFTPOS,5870.59
Saturday,2022-08-27,PayPal,-149.0
Sunday,2022-08-28,Account,335.0
