department,markdown_id,markdown_description,date,style_code,description,colour,price,soh,price_history
Menswear,4370,SCMWMARMSS,4/03/2025,207730,SSR SAIL AWAY S,Navy,49,2,"{'89.00': ('24/12/2024', 'SCMWBDWK20'), '59.00': ('30/01/2025', 'SCFEBSALEFURTHERS'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4399,SCWK38FINALPP,17/04/2025,207733,SSR STANTON YD,Navy,49,2,"{'89.00': ('04/03/2025', 'SCMWMARMSS'), '49.00': ('17/04/2025', 'SCWK38FINALPP')}"
Menswear,4399,SCWK38FINALPP,17/04/2025,207747,LSR LINEN SHIRT,Lapis,49,2,"{'89.00': ('04/03/2025', 'SCMWMARMSS'), '49.00': ('17/04/2025', 'SCWK38FINALPP')}"
Menswear,4399,SCWK38FINALPP,17/04/2025,207768,SSR FENTON STRI,Blue/Multi,49,2,"{'89.00': ('04/03/2025', 'SCMWMARMSS'), '49.00': ('17/04/2025', 'SCWK38FINALPP')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207785,SSR TOOHEY SHIR,Navy,49,2,"{'89.00': ('17/12/2024', 'SCMWBDWK19'), '59.00': ('30/01/2025', 'SCFEBSALEFURTHERS'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207026,LSL LINEN SHIRT,Navy,49,1,"{'79.00': ('21/12/2023', 'SCBOXINGDAY121223'), '69.00': ('16/01/2024', 'Nothing'), '59.00': ('11/04/2024', 'SCW24FINALPP'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207026,LSL LINEN SHIRT,Sky,49,1,"{'79.00': ('21/12/2023', 'SCBOXINGDAY121223'), '69.00': ('16/01/2024', 'Nothing'), '59.00': ('11/04/2024', 'SCW24FINALPP'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207027,SSL LINEN SHIRT,Navy,49,1,"{'79.00': ('21/12/2023', 'SCBOXINGDAY121223'), '69.00': ('16/01/2024', 'Nothing'), '59.00': ('11/04/2024', 'SCW24FINALPP'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207027,SSL LINEN SHIRT,White,49,1,"{'79.00': ('21/12/2023', 'SCBOXINGDAY121223'), '69.00': ('16/01/2024', 'Nothing'), '59.00': ('11/04/2024', 'SCW24FINALPP'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4409,SCMWEOSSWK42,27/05/2025,207143,SC PIQUE POLO M,Grey Mel,49,1,"{'49.00': ('27/05/2025', 'SCMWEOSSWK42')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207269,LSL LINEN SHIRT,Navy,49,1,"{'89.00': ('17/12/2024', 'SCMWBDWK19'), '59.00': ('30/01/2025', 'SCFEBSALEFURTHERS'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207391,SST ALPHA SHIRT,Yellow,49,1,"{'69.00': ('06/03/2024', 'SCW24MSS'), '59.00': ('11/04/2024', 'SCW24FINALPP'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207392,SSR GREYS SHIRT,Lagoon,49,1,"{'79.00': ('21/12/2023', 'SCBOXINGDAY121223'), '69.00': ('16/01/2024', 'Nothing'), '59.00': ('11/04/2024', 'SCW24FINALPP'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207394,SSR ARDON SHIRT,Blue,49,1,"{'69.00': ('06/03/2024', 'SCW24MSS'), '59.00': ('11/04/2024', 'SCW24FINALPP'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207397,SSR ERA LIBERTY,Navy,49,1,"{'89.00': ('28/05/2024', 'SCW24EOSS'), '59.00': ('20/06/2024', 'SCW24EOSSFURPP'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207423,SST REDCLIFF SH,White,49,1,"{'79.00': ('21/12/2023', 'SCBOXINGDAY121223'), '69.00': ('06/03/2024', 'SCW24MSS'), '59.00': ('11/04/2024', 'SCW24FINALPP'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207441,LSR WATTA SHIRT,Blue/Multi,49,1,"{'79.00': ('21/12/2023', 'SCBOXINGDAY121223'), '69.00': ('16/01/2024', 'Nothing'), '59.00': ('11/04/2024', 'SCW24FINALPP'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207461,SSR HORNER SHIR,Royal Blue,49,1,"{'89.00': ('16/01/2024', 'Nothing'), '59.00': ('11/04/2024', 'SCW24FINALPP'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207464,SSR DERBY SHIRT,Punch,49,1,"{'69.00': ('06/03/2024', 'SCW24MSS'), '59.00': ('11/04/2024', 'SCW24FINALPP'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207487,SSR LEE LIBERTY,Navy Multi,49,1,"{'89.00': ('28/05/2024', 'SCW24EOSS'), '59.00': ('20/06/2024', 'SCW24EOSSFURPP'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207489,SST WESTALL SHI,Multi Whte,49,1,"{'69.00': ('06/03/2024', 'SCW24MSS'), '59.00': ('11/04/2024', 'SCW24FINALPP'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4409,SCMWEOSSWK42,27/05/2025,207493,SC TIPPED PIQUE,Charcoal,49,1,"{'49.00': ('27/05/2025', 'SCMWEOSSWK42')}"
Menswear,4314,SCFINALPPA,3/10/2024,207515,LST CLAREMONT P,Ball Pt Bl,49,1,"{'69.00': ('21/08/2024', 'SCS24MSSV1'), '49.00': ('03/10/2024', 'SCFINALPPA')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207538,LSR HINDMARSH C,Orange,49,1,"{'89.00': ('21/08/2024', 'SCS24MSSV1'), '59.00': ('30/01/2025', 'SCFEBSALEFURTHERS'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4286,SCS24MSSV1,21/08/2024,207554,HOLMAN JOGGER P,Moss,49,1,"{'109.00': ('31/05/2024', 'SCW24EOSSFURV4'), '79.00': ('20/06/2024', 'SCW24EOSSFURPP'), '49.00': ('21/08/2024', 'SCS24MSSV1')}"
Menswear,4286,SCS24MSSV1,21/08/2024,207566,GRAYSON STRAIGH,Dk Grey,49,1,"{'109.00': ('31/05/2024', 'SCW24EOSSFURV4'), '79.00': ('20/06/2024', 'SCW24EOSSFURPP'), '49.00': ('21/08/2024', 'SCS24MSSV1')}"
Menswear,4286,SCS24MSSV1,21/08/2024,207569,CIVIC QTR ZIP,Ball Pt Bl,49,1,"{'89.00': ('28/05/2024', 'SCW24EOSS'), '79.00': ('20/06/2024', 'SCW24EOSSFURPP'), '49.00': ('21/08/2024', 'SCS24MSSV1')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207597,LSR EDGAR SHIRT,Steel Blue,49,1,"{'89.00': ('31/05/2024', 'SCW24EOSSFURV4'), '59.00': ('20/06/2024', 'SCW24EOSSFURPP'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4314,SCFINALPPA,3/10/2024,207644,LST WALANG SHIR,Ball Pt Bl,49,1,"{'69.00': ('21/08/2024', 'SCS24MSSV1'), '49.00': ('03/10/2024', 'SCFINALPPA')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207645,LSR AZRA LIBERT,Wineberry,49,1,"{'89.00': ('28/05/2024', 'SCW24EOSS'), '59.00': ('20/06/2024', 'SCW24EOSSFURPP'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207710,SSR LANE PRINT,Green,49,1,"{'89.00': ('17/12/2024', 'SCMWBDWK19'), '59.00': ('30/01/2025', 'SCFEBSALEFURTHERS'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207725,SSR VIC LIBERTY,Multi,49,1,"{'129.00': ('19/11/2024', 'SCMWBFWK14'), '59.00': ('30/01/2025', 'SCFEBSALEFURTHERS'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4409,SCMWEOSSWK42,27/05/2025,207734,SC PIQUE POLO M,Ink,49,1,"{'49.00': ('27/05/2025', 'SCMWEOSSWK42')}"
Menswear,4399,SCWK38FINALPP,17/04/2025,207747,LSR LINEN SHIRT,Elm,49,1,"{'89.00': ('04/03/2025', 'SCMWMARMSS'), '49.00': ('17/04/2025', 'SCWK38FINALPP')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207748,SSR LINEN SHIRT,Seagreen,49,1,"{'89.00': ('17/12/2024', 'SCMWBDWK19'), '59.00': ('30/01/2025', 'SCFEBSALEFURTHERS'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4286,SCS24MSSV1,21/08/2024,206910G1,MERINO V NECK,Malt,49,1,"{'89.00': ('28/05/2024', 'SCW24EOSS'), '79.00': ('20/06/2024', 'SCW24EOSSFURPP'), '49.00': ('21/08/2024', 'SCS24MSSV1')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207268G1,SSL LINEN YD SH,Chambray,49,1,"{'89.00': ('17/12/2024', 'SCMWBDWK19'), '59.00': ('30/01/2025', 'SCFEBSALEFURTHERS'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207269G1,LSL LINEN SHIRT,Lagoon,49,1,"{'69.00': ('06/03/2024', 'SCW24MSS'), '59.00': ('11/04/2024', 'SCW24FINALPP'), '49.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4370,SCMWMARMSS,4/03/2025,206726,CLASSIC SHORT,White,39,13,"{'79.00': ('17/12/2024', 'SCMWBDWK19'), '39.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4370,SCMWMARMSS,4/03/2025,207795,HOLLAND LINEN S,Wash Black,39,12,"{'79.00': ('17/12/2024', 'SCMWBDWK19'), '59.00': ('24/12/2024', 'SCBOXINGDAYFURTHERS'), '39.00': ('04/03/2025', 'SCMWMARMSS')}"
Menswear,4151,SCS23CLDFINAL,6/10/2023,206576,COOPER CORD,Greystone,39,8,"{'99.00': ('21/08/2024', 'SCS24MSSV1'), '69.00': ('15/09/2023', 'SCS23MSSPP'), '59.00': ('03/10/2024', 'SCFINALPPA'), '39.00': ('06/10/2023', 'SCS23CLDFINAL')}"
Menswear,4180,Nothing,16/01/2024,207140,JACKSON SLIM JE,Wash Black,39,7,"{'89.00': ('31/08/2023', 'SCS23MSSNEW'), '69.00': ('15/09/2023', 'SCS23MSSPP'), '59.00': ('27/09/2023', 'SCS24FURTHERMDWK7'), '49.00': ('09/01/2024', 'SCFURTHERMD08012024'), '39.00': ('16/01/2024', 'Nothing')}"
Menswear,4180,Nothing,16/01/2024,206531,BEDFORD JEAN,Lagoon,39,6,"{'79.00': ('24/11/2023', 'SCBFMD23'), '49.00': ('09/01/2024', 'SCFURTHERMD08012024'), '39.00': ('16/01/2024', 'Nothing')}"
